datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/TRADEINFO0-Gate/TRADEINFO1-Gate/TRADEINFO2-Gate/NEW_ORDER_OPEN-TradeAct/TRADEINFO3-Gate/TRADEINFO4-Gate/NEW_ORDER_CLOSE-TradeAct/TRADEINFO5-Gate,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/TRADEINFO0-TradeAct/TRADEINFO1-M30dn+M15up|act/TRADEINFO2-|act/NEW_ORDER_OPEN-OPEN_TICKET/TRADEINFO3-M5/TRADEINFO4-M5/NEW_ORDER_CLOSE-OPEN_TICKET/TRADEINFO5-M5,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/TRADEINFO0-Trade_act/TRADEINFO1-atrsl/TRADEINFO2-atrsl/NEW_ORDER_OPEN-OPEN_TYPE/TRADEINFO3-atrsl/TRADEINFO4-atrsl/NEW_ORDER_CLOSE-OPEN_Type/TRADEINFO5-atrsl,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/TRADEINFO0-pen/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,TRADEINFO0,G0b-TOUCH,,0,,,,,,,,,,,,,,
~,NEW_ORDER_OPEN,[],2,BUY,0.01,4346.92,10000.0,100.0,,,,,,,,,,
~,BBTFImpact,{},,{M30=1|H1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-20|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4354.76,4346.06,4346.66,4.27,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 03:30,M15,1.0,3.0,0.0,1.8199999999999998,0.98,1.53,4331.1,4364.15,4298.06,4349.19,4349.19,4349.19,,,,,
~,M30,5.0,1.0,0.0,0.33,3.98,1.24,4329.28,4356.04,4302.52,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M30=1|H1=1},{},{M5=8-7|M15=0-9|M30=0-9|H1=9-9|H4=0-0|D1=0-0|W1=0-0},{M5=30-20|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4354.73,4346.06,4349.37,4.22,,,,,,,,,,,
~,ORDERINFO,2.27,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 03:45,M15,1.0,3.0,0.0,1.76,-2.96,1.49,4332.82,4365.16,4300.49,4346.68,4346.68,4346.68,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M30=1|H1=1},{},{M5=7-8|M15=0-9|M30=0-9|H1=19-9|H4=0-0|D1=0-0|W1=0-0},{M5=20-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=19-29|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4354.73,4346.06,4346.6,4.06,,,,,,,,,,,
~,ORDERINFO,-0.24,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 04:00,M15,1.0,3.0,0.0,1.8900000000000001,-5.34,1.46,4334.9,4366.45,4303.36,4348.07,4348.07,4348.07,,,,,
~,M30,1.0,1.0,0.0,0.56,4.82,1.29,4329.87,4357.77,4301.97,,,,,,,,
~,H1,4.0,0.0,0.0,1.9100000000000001,4.8,1.28,4326.1,4353.68,4298.51,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M30=1},{M30=1|H1=1},{},{M5=7-8|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=20-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4354.73,4346.06,4348.0,4.31,,,,,,,,,,,
~,ORDERINFO,1.15,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 04:15,M15,1.0,3.0,0.0,1.55,-3.76,1.42,4336.5,4367.31,4305.68,4347.16,4347.16,4347.16,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M30=1},{M30=1|H1=1},{},{M5=0-7|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-20|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4354.31,4346.06,4347.0,3.65,,,,,,,,,,,
~,ORDERINFO,0.24,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 04:30,M15,1.0,3.0,0.0,1.43,-3.03,1.3900000000000001,4337.91,4368.06,4307.77,4347.73,4347.73,,,,,,
~,M30,1.0,1.0,0.0,0.68,4.93,1.34,4330.58,4359.64,4301.53,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M30=1},{M30=1|H1=1},{},{M5=0-7|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-20|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4353.29,4346.06,4348.27,3.38,,,,,,,,,,,
~,ORDERINFO,0.81,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 04:45,M15,1.0,3.0,0.0,1.85,-6.95,1.33,4339.84,4368.6,4311.08,4351.49,4351.49,4351.49,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M30=1},{M30=1|H1=1},{},{M5=9-7|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=30-40|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4346.06,4353.29,4346.06,4351.76,3.45,,,,,,,,,,,
~,ORDERINFO,4.57,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 05:00,M15,1.0,3.0,0.0,2.51,-5.64,1.29,4342.64,4370.76,4314.52,4362.88,4362.88,4362.88,,,,,
~,M30,1.0,1.0,0.0,1.6099999999999999,14.43,1.53,4332.5,4365.57,4299.43,,,,,,,,
~,H1,1.0,3.0,0.0,3.07,8.67,1.41,4329.48,4360.06,4298.9,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
