datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/NEW_ORDER_OPEN-TradeAct/NEW_ORDER_CLOSE-TradeAct,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/NEW_ORDER_OPEN-OPEN_TICKET/NEW_ORDER_CLOSE-OPEN_TICKET,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/NEW_ORDER_OPEN-OPEN_TYPE/NEW_ORDER_CLOSE-OPEN_Type,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,H1,1.0,1.0,0.0,0.3,2.14,0.97,3296.16,3312.07,3280.25,,,,,,,,
~,BBTFImpact,[60150.0],{M5=1|M15=1},{M15=1|H4=1},"[2.36, 6.8100000000000005, 10.17]",{M5=0-6|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-20|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.01,3309.01,3301.93,3303.42,2.79,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 05:15,M15,1.0,2.0,0.0,0.83,-9.85,0.78,3307.28,3320.12,3294.45,3308.46,3308.46,3308.46,,,,,
~,BBTFImpact,[60114.0],{M5=1|M15=1},{M15=1|H4=1},"[0.99, 7.77, 11.13]",{M5=0-6|M15=0-8|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=30-20|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.01,3309.01,3303.07,3308.68,2.81,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 05:30,M15,1.0,2.0,0.0,0.79,-14.39,0.63,3308.1,3318.57,3297.64,3306.91,3306.91,3306.91,,,,,
~,M30,1.0,3.0,0.0,0.86,-2.2,1.06,3300.57,3317.98,3283.15,,,,,,,,
~,BBTFImpact,[60014.0],{M5=1|M15=1},{M15=1|H1=1|H4=1},"[0.12, 7.54, 11.95]",{M5=0-7|M15=0-7|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-20|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3312.22,3312.22,3302.53,3306.83,2.71,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 05:45,M15,1.0,2.0,0.0,0.84,-23.01,0.4,3309.01,3315.66,3302.36,3307.22,3307.22,3307.22,,,,,
~,BBTFImpact,['60015-S_24'],{M5=1|M15=1},{H1=1|H4=1},"[1.3, 8.44, 12.85]",{M5=7-8|M15=7-8|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=20-30|M15=20-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3311.96,3311.96,3303.23,3307.24,2.36,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 06:00,M15,5.0,2.0,0.0,0.23,-3.58,0.37,3309.22,3315.3,3303.14,3307.38,3307.38,3307.38,,,,,
~,M30,1.0,3.0,0.0,0.88,-3.14,1.03,3301.48,3318.42,3284.53,,,,,,,,
~,H1,5.0,1.0,0.0,0.49,4.12,1.03,3296.84,3313.88,3279.81,,,,,,,,
~,BBTFImpact,['64056-S_11'],{M5=1|M15=1},{H1=1|H4=1},"[2.11, 7.75, 12.38]",{M5=8-7|M15=0-7|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=30-20|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3311.0,3311.0,3303.23,3307.17,2.24,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 06:15,M15,3.0,2.0,0.0,0.05,-0.93,0.36,3309.21,3315.24,3303.18,3305.32,3305.32,3305.32,,,,,
~,BBTFImpact,['64066-S_11'],{M5=1|M15=1},{H1=1|H4=1},"[2.5, 7.73, 12.36]",{M5=0-7|M15=0-7|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-20|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.22,3309.22,3303.23,3305.17,2.02,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 06:30,M15,3.0,2.0,0.0,0.07,-1.22,0.34,3309.35,3315.02,3303.68,3305.62,3305.62,3305.62,,,,,
~,M30,1.0,3.0,0.0,0.78,-4.74,0.98,3302.21,3318.32,3286.11,,,,,,,,
~,BBTFImpact,['64066-S_11'],{M5=1|M15=1},{H1=1|H4=1},"[2.43, 7.13, 12.5]",{M5=7-8|M15=0-7|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=20-30|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.22,3309.22,3303.88,3305.69,2.03,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 06:45,M15,4.0,0.0,0.0,-0.25,1.35,0.36,3309.05,3315.07,3303.03,3305.38,3305.38,3305.38,,,,,
~,BBTFImpact,['64066-S_11'],{M5=1|M15=1},{H1=1|H4=1},"[2.23, 6.84, 12.21]",{M5=0-7|M15=0-7|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-20|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3308.06,3308.06,3303.88,3305.28,1.96,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 07:00,M15,4.0,0.0,8.0,-0.3,-3.4,0.32,3308.84,3314.13,3303.54,3308.64,3308.64,3308.64,,,,,
~,M30,1.0,3.0,0.0,0.82,-2.7199999999999998,0.95,3303.06,3318.75,3287.38,,,,,,,,
~,H1,1.0,1.0,0.0,0.7,4.48,1.07,3297.49,3315.13,3279.84,,,,,,,,
~,BBTFImpact,['60066-S_13'],{M5=1|M15=1},{H1=1|H4=1},"[2.05, 5.77, 11.35]",{M5=0-8|M15=0-7|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3304.99,3312.61,3304.99,3308.8,1.9100000000000001,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 07:15,M15,4.0,2.0,8.0,-0.06,-0.86,0.31,3308.87,3314.07,3303.67,3311.55,3311.55,3311.55,,,,,
~,BBTFImpact,['60064-S_13'],{M5=1|M15=1},{M15=1|H1=1|H4=1},"[1.53, 5.8100000000000005, 11.38]",{M5=0-8|M15=0-8|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-40|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3307.74,3312.61,3307.74,3311.67,1.97,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 07:30,M15,3.0,0.0,8.0,0.1,1.5699999999999998,0.34,3309.02,3314.61,3303.43,3313.65,3313.65,3313.65,,,,,
~,M30,1.0,3.0,0.0,1.07,-1.27,0.95,3304.26,3319.97,3288.55,,,,,,,,
